marca,modelo,precio_contado,financiacion_disponible,descuento,precio_final,ubicacion,kilometraje,combustible_Diésel,combustible_Eléctrico,combustible_Gas,combustible_Gasolina,combustible_Híbrido,combustible_Híbrido Enchufable,combustible_nan,es_km0,es_demo,transmision,tipo_carroceria,asientos,potencia,puertas,mes_matriculacion2,año_matriculacion2,garantia_limpia,transmision_cod
PORSCHE,911 Carrera Cabriolet PDK,138990.0,0,0.0,138990.0,Pontevedra,44000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,4.0,385.0,2.0,5.0,2021.0,12,0
AUDI,A6 RS6 Avant,128990.0,0,0.0,128990.0,Pontevedra,24000.0,False,False,False,True,False,False,False,False,False,Automático,Familiar,0.0,600.0,5.0,9.0,2020.0,12,0
MERCEDES-BENZ,Clase GLE 300d 4Matic Aut.,52290.0,1,0.0,52290.0,Madrid,86432.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,245.0,5.0,10.0,2020.0,12,0
KIA,Niro E-Niro Drive,27300.0,1,0.0,27300.0,Burgos,40152.0,False,True,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,136.0,5.0,9.0,2020.0,84,0
RENAULT,Kadjar 1.5dCi Blue Business 85kW,16900.0,0,0.0,16900.0,Zaragoza,83013.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,115.0,5.0,1.0,2020.0,12,1
NISSAN,Qashqai MHEV N-Connecta 4x4 2021,30900.0,1,0.0,30900.0,Madrid,11300.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,158.0,5.0,4.0,2023.0,12,0
PEUGEOT,308 SW 1.5 BlueHDi S&S Active Pack 130,20400.0,1,0.0,20400.0,Madrid,58347.0,True,False,False,False,False,False,False,False,False,Manual,Stationwagon,5.0,130.0,5.0,8.0,2022.0,12,1
KIA,Picanto 1.0 Concept,11600.0,1,0.0,11600.0,Madrid,86100.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,66.0,5.0,10.0,2020.0,12,1
TOYOTA,Corolla Sedán  125H Active Tech,23900.0,1,0.0,23900.0,Madrid,46270.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,3.0,2023.0,0,1
BMW,X1 sDrive 18dA,25490.0,1,0.0,25490.0,Madrid,102610.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,150.0,5.0,6.0,2021.0,12,0
